,training_size,number of trees,tree depth,training efficiency,testing efficiency
0,0.6,10,4,0.6191123727286635,0.6147217052089442
1,0.6,10,5,0.6266594142543896,0.6182912215394814
2,0.6,10,6,0.631418809811154,0.6196935315264782
3,0.6,10,7,0.6396967585116691,0.6205859106091125
4,0.6,10,8,0.6490965647362785,0.6209683587873843
5,0.6,10,9,0.6630687902636365,0.6218862344152367
6,0.6,11,4,0.6202002345702096,0.615308125748961
7,0.6,11,5,0.6264554401590998,0.6184696973560082
8,0.6,11,6,0.6322007105097652,0.61966803498126
9,0.6,11,7,0.6400537131784263,0.6215547793274011
10,0.6,11,8,0.6509663272764359,0.6212998138752199
11,0.6,11,9,0.6652955074705512,0.6210448484230386
12,0.6,12,4,0.6226309258724142,0.6177557940899008
13,0.6,12,5,0.627985245873774,0.6197700211621325
14,0.6,12,6,0.6338495011133586,0.6198720073430051
15,0.6,12,7,0.6409885944485051,0.6218862344152367
16,0.6,12,8,0.6522751610545461,0.6207388898804213
17,0.6,12,9,0.6673012527409019,0.6205094209734581
18,0.6,13,4,0.6236337985075895,0.619030621350807
19,0.6,13,5,0.62927708181061,0.6196935315264782
20,0.6,13,6,0.6342744471452125,0.6206369036995487
21,0.6,13,7,0.642059458448777,0.6219372275056729
22,0.6,13,8,0.6534820077850113,0.6208408760612937
23,0.6,13,9,0.669357991535075,0.6211978276943474
24,0.6,14,4,0.6244836905712975,0.6199739935238775
25,0.6,14,5,0.629804014890109,0.6199994900690956
26,0.6,14,6,0.6350393500025496,0.6218862344152367
27,0.6,14,7,0.6433852900681614,0.6220392136865455
28,0.6,14,8,0.6559806904523126,0.6226001376813441
29,0.6,14,9,0.6703778620115245,0.6216567655082736
30,0.6,15,4,0.6247046625078615,0.6203054486117131
31,0.6,15,5,0.6303649436521562,0.6199484969786594
32,0.6,15,6,0.6354812938756778,0.621529282782183
33,0.6,15,7,0.6445751389573524,0.6225491445909079
34,0.6,15,8,0.6575444918495351,0.6232120547665791
35,0.6,15,9,0.6727235641073583,0.6215547793274011
36,0.6,16,4,0.6255375567302952,0.6207643864256394
37,0.6,16,5,0.6305859155887202,0.6205094209734581
38,0.6,16,6,0.6362291988917408,0.6229570893143979
39,0.6,16,7,0.64603695330693,0.6227021238622167
40,0.6,16,8,0.658496370960888,0.6240534407587772
41,0.6,16,9,0.6741003892505651,0.6222686825935085
42,0.6,17,4,0.626693409936938,0.6214018000560924
43,0.6,17,5,0.6303649436521562,0.6203564417021493
44,0.6,17,6,0.6369601060665295,0.6236454960352872
45,0.6,17,7,0.6471928065135728,0.6228041100430891
46,0.6,17,8,0.659686219850079,0.622982585859616
47,0.6,17,9,0.676446091346399,0.6226766273169986
48,0.6,18,4,0.6268123948258572,0.6212488207847836
