,training_size,tree depth,training efficiency,testing efficiency
0,0.6,1,0.6118033009807754,0.609698885800974
1,0.6,2,0.6118033009807754,0.609698885800974
2,0.6,3,0.6131631282827081,0.611177685423625
3,0.6,4,0.615525828219816,0.6129369470436756
4,0.6,5,0.619605310125614,0.6138293261263099
5,0.6,6,0.62433070999983,0.6153591188393973
6,0.6,7,0.6275602998419201,0.6149766706611254
7,0.6,8,0.6311808400333158,0.6143902501211086
8,0.6,9,0.6377250089238666,0.6141862777593636
9,0.63,1,0.6117658486045457,0.6095920617420066
10,0.63,2,0.6117658486045457,0.6095920617420066
11,0.63,3,0.6148416758401865,0.6139195148842337
12,0.63,4,0.6151492585637506,0.6140022050716648
13,0.63,5,0.6183545943145762,0.6131477398015436
14,0.63,6,0.6235673120507673,0.6151323042998897
15,0.63,7,0.626044162403678,0.6149669239250276
16,0.63,8,0.630933108851907,0.6141400220507166
17,0.63,9,0.6366152949556433,0.6150496141124586
18,0.66,1,0.6118305158080168,0.6092747015417842
19,0.66,2,0.6118305158080168,0.6092747015417842
20,0.66,3,0.6149673949995365,0.6135940968264443
21,0.66,4,0.6152455419229224,0.613714080028796
22,0.66,5,0.6179961059430726,0.6129941808146859
23,0.66,6,0.6236517600519208,0.6145839582458456
24,0.66,7,0.6264177766789257,0.6146439498470214
25,0.66,8,0.6299718762555243,0.6152738616593677
26,0.66,9,0.6345303952776833,0.6135341052252684
27,0.69,1,0.6118986032074496,0.6088758759088068
28,0.69,2,0.6118986032074496,0.6088758759088068
29,0.69,3,0.61346537580371,0.6099286113761226
30,0.69,4,0.61742664991501,0.6132184097114847
31,0.69,5,0.6207227847165767,0.6127907359278876
32,0.69,6,0.6240928238858916,0.613711879461789
33,0.69,7,0.6279062892616953,0.6152580846794091
34,0.69,8,0.6315719459020028,0.6124617560943514
35,0.69,9,0.6366565664030744,0.6125604500444123
36,0.72,1,0.6121789877756845,0.60783099617556
37,0.72,2,0.6121789877756845,0.60783099617556
38,0.72,3,0.6136379732849838,0.6091058095064651
39,0.72,4,0.6190489680864626,0.6147514114004735
40,0.72,5,0.6220802583679194,0.6156255691130942
41,0.72,6,0.6236808929557913,0.6141322163540339
42,0.72,7,0.627746221510829,0.6137315607357494
43,0.72,8,0.6312874484751476,0.6134401748315426
44,0.72,9,0.6369109168944856,0.6101620834092151
45,0.75,1,0.6116618392961558,0.6088606045771632
