,Train Misclass,Test Misclass,Training Data Set Size
1,0.427135678,0.441176471,1000
2,0.431360202,0.400485437,2000
3,0.405785124,0.410344828,3000
4,0.415709407,0.456996149,4000
5,0.431098928,0.398176292,5000
6,0.427884615,0.425986842,6000
7,0.424123821,0.444525018,7000
8,0.423613312,0.409467456,8000
9,0.423623568,0.435824301,9000
10,0.42969826,0.418777943,10000
11,0.423655914,0.434642032,11000
12,0.416736489,0.449836868,12000
13,0.417986862,0.424471299,13000
14,0.425803571,0.421428571,14000
15,0.419973324,0.434087883,15000
16,0.426475204,0.415233415,16000
17,0.424044118,0.421470588,17000
18,0.419699175,0.428771341,18000
19,0.42540708,0.420255808,19000
20,0.425946827,0.435093781,20000
21,0.41539103,0.435526003,21000
22,0.424359704,0.423702032,22000
23,0.421464108,0.426417498,23000
24,0.419434002,0.420379538,24000
25,0.423951795,0.419665683,25000
26,0.424918598,0.422009382,26000
27,0.418154074,0.427986602,27000
28,0.420354179,0.419820808,28000
29,0.422244264,0.42136958,29000
30,0.423201933,0.431689437,30000
31,0.421634986,0.438122333,31000
32,0.422174423,0.425972006,32000
33,0.424442421,0.421790235,33000
34,0.424212345,0.43168113,34000
35,0.421949825,0.427614705,35000
36,0.418163569,0.428028704,36000
37,0.421530698,0.428591065,37000
38,0.421083724,0.423051388,38000
39,0.420767653,0.431176168,39000
40,0.423260754,0.425960696,40000
41,0.424277492,0.424231288,41000
42,0.422549865,0.428998684,42000
43,0.42080804,0.426437989,43000
44,0.422345641,0.421288322,44000
45,0.423872415,0.424293595,45000
46,0.424616892,0.418961235,46000
47,0.42559889,0.428421274,47000
48,0.422082478,0.421036041,48000
49,0.421969309,0.418383838,49000
50,0.424475856,0.428643674,50000
51,0.420742588,0.42620676,51000
52,0.422122492,0.418215254,52000
53,0.426456048,0.426534879,53000
54,0.420305652,0.40959647,54000
55,0.423586342,0.422106892,55000
56,0.423633691,0.4173725,56000
57,0.424408895,0.423337974,57000
58,0.423051199,0.421337224,58000
59,0.424392001,0.41446253,59000
60,0.424542874,0.42143566,60000
61,0.419911649,0.425644415,61000
62,0.420981612,0.419373127,62000
63,0.425084826,0.4193446,63000
64,0.423130126,0.42263079,64000
65,0.424743498,0.421347023,65000
66,0.423579298,0.426066495,66000
67,0.423718679,0.429715896,67000
68,0.424483044,0.418683339,68000
69,0.421683697,0.425100328,69000
70,0.42296376,0.422931276,70000
71,0.425664744,0.427065648,71000
72,0.421738224,0.434137549,72000
73,0.422016306,0.427066229,73000
74,0.423736256,0.418092083,74000
75,0.42226747,0.423655771,75000
76,0.420810526,0.425006516,76000
77,0.424915617,0.420720604,77000
78,0.422038824,0.41911063,78000
79,0.42080281,0.422865101,79000
80,0.421169829,0.425816389,80000
81,0.422390956,0.424216028,81000
82,0.423052353,0.424387843,82000
83,0.423634421,0.420817485,83000
84,0.421531542,0.42659625,84000
85,0.423353161,0.420869051,85000
86,0.422415786,0.424397806,86000
87,0.424087602,0.420299059,87000
88,0.42268935,0.42656312,88000
89,0.423337456,0.422719121,89000
90,0.423107868,0.425413131,90000
91,0.421566474,0.425993177,91000
92,0.423452591,0.423742564,92000
93,0.423839018,0.421175576,93000
94,0.423422825,0.423810287,94000
95,0.423915623,0.41921671,95000
96,0.422712195,0.425359477,96000
97,0.424587629,0.418505155,97000
98,0.422753634,0.425043108,98000
